SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEA002199,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  62攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04991079,121.5120878,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.062 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002200,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  63攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.0495481,121.5127393,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.063 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002201,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  73攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04955165,121.5131868,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.073 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002202,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  74攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04934541,121.5135047,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.074 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002203,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場6中央,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04935253,121.5136146,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Center of Square6 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002204,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  83攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.0492423,121.5139953,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.083 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002205,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  90攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04897917,121.5146626,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.090 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002206,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  84攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04916407,121.5145017,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.084 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002207,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  91攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04891516,121.5152278,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.091 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002208,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場7中央,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04896139,121.5154358,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Center of Square7 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
