country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type
桃園市,中壢區,青埔里,H020000453,桃園新光影城3F影廳無障礙廁,桃園市中壢區春德路107號,縣市政府,25.01669100000000000,121.21354200000000000,特優級,無障礙廁所,戲院
桃園市,中壢區,青埔里,H020000450,桃園新光影城3F無障礙廁,桃園市中壢區春德路107號,縣市政府,25.01669100000000000,121.21354200000000000,特優級,無障礙廁所,戲院
高雄市,左營區,新下里,E030000699,"漢神巨蛋購物廣場1F 西側 女廁",高雄市左營區博愛二路777號,縣市政府,22.66946998841510000,120.30256271347800000,特優級,女廁所,百貨公司
高雄市,左營區,新下里,E030000696,"漢神巨蛋購物廣場1F 北側 男廁",高雄市左營區博愛二路777號,縣市政府,22.66946998841510000,120.30256271347800000,特優級,男廁所,百貨公司
新北市,淡水區,草東里,F100000646,捷運淡水站(北邊站外親子廁所),新北市淡水區中正路1號,縣市政府,25.16865453895960000,121.44446432590500000,特優級,親子廁所,捷運車站
花蓮縣,壽豐鄉,鹽寮村,U060000183,遠雄海洋公園-海洋村親子廁所,花蓮縣壽豐鄉鹽寮村福德189號,其他,23.90127000000000000,121.60333100000000000,特優級,親子廁所,娛樂場所
高雄市,左營區,新下里,E030000732,"漢神巨蛋購物廣場8F 北側 女廁",高雄市左營區博愛二路777號,縣市政府,22.66978950269600000,120.30259847637400000,特優級,女廁所,百貨公司
高雄市,左營區,新下里,E030000729,"漢神巨蛋購物廣場7F 西側 女廁",高雄市左營區博愛二路777號,縣市政府,22.66978950269600000,120.30259847637400000,特優級,女廁所,百貨公司
高雄市,左營區,新下里,E030000714,"漢神巨蛋購物廣場4F 西側 女廁",高雄市左營區博愛二路777號,縣市政府,22.66946998841510000,120.30256271347800000,特優級,女廁所,百貨公司
臺北市,大安區,龍門里,A030001929,大安森林公園4號信義路無障礙親子,臺北市大安區新生南路二段1號,縣市政府,25.03015200000000000,121.53535100000000000,特優級,親子廁所,公園
苗栗縣,獅潭鄉,新店村,K170000019,仙山靈洞宮,獅潭鄉新店村小東勢,其他,24.54191167858420000,120.94822883606000000,特優級,混合廁所,寺廟教堂等宗教活動場所
新北市,板橋區,新民里,F010000348,高鐵板橋站入口西區-男廁,板橋區文化路1段54號,縣市政府,25.01415500000000000,121.46380300000000000,特優級,男廁所,高鐵
新北市,五股區,水碓里,F150000315,水碓觀景公園-女廁,"五股鄉水碓 ",縣市政府,25.07339300000000000,121.42703500000000000,特優級,女廁所,公園
高雄市,旗山區,湄洲里,E300000084,高雄市警察局旗山分局女廁,華中街1號,縣市政府,22.88789100000000000,120.48303100000000000,特優級,女廁所,公家機關設置供民眾使用者
高雄市,田寮區,南安里,E220000014,田寮區衛生所1F女廁,高雄市田寮區南安里崗北路32號,縣市政府,22.87294800000000000,120.36013800000000000,特優級,女廁所,公家機關設置供民眾使用者
高雄市,燕巢區,南燕里,E210000152,燕巢區戶政事務所女廁,燕巢區南燕里中民路585-1號,縣市政府,22.79308800000000000,120.36229800000000000,特優級,女廁所,公家機關設置供民眾使用者
高雄市,岡山區,壽天里,E190000104,岡山區衛生所1F男廁,岡山區壽天里公園路50號,縣市政府,22.79631600000000000,120.29108300000000000,特優級,男廁所,公家機關設置供民眾使用者
新北市,新莊區,化成里,F050000418,中油興化加油站-男廁,"新北市新莊區復興路3段117號 ",經濟部,25.04473900000000000,121.46498600000000000,優等級,男廁所,加油站
新北市,新莊區,中和里,F050000145,摩斯漢堡新莊中港店-混合廁,"新北市新莊區中港路319號 ",經濟部,25.04482300000000000,121.45250600000000000,特優級,混合廁所,餐廳
新北市,新莊區,興漢里,F050000120,新莊區公所1F-男廁,新北市新莊區中正路176號,縣市政府,25.03583400000000000,121.45055800000000000,特優級,男廁所,公家機關設置供民眾使用者
新北市,新莊區,八德里,F050000099,鴻金寶夢幻廣場-男廁,"新北市新莊區民安路188巷5號1樓 ",經濟部,25.02323700000000000,121.42480600000000000,優等級,男廁所,百貨公司
臺南市,麻豆區,南勢里,D070000342,總爺行政辦公區公廁1樓女廁,臺南市麻豆區總爺104號,縣市政府,23.18659900000000000,120.26975100000000000,特優級,女廁所,文化育樂活動場所
臺中市,西　區,忠明里,B040000528,金典綠園道B1（親子廁）,臺中市西區忠明里健行路一○四九號,縣市政府,24.15693100000000000,120.66325900000000000,特優級,親子廁所,百貨公司
臺中市,神岡區,庄前里,B160000143,潭雅神綠園道5.3K(紅圳頭義民祠)-女廁,臺中市神岡區神林路70巷103號,縣市政府,24.25050900000000000,120.66743900000000000,特優級,女廁所,觀光地區及風景區
雲林縣,古坑鄉,西平村,P070000287,古坑夜市-混合廁,雲林縣古坑鄉西平村西平路四○號,請選擇主管機關,23.64674600000000000,120.56067500000000000,特優級,混合廁所,觀光地區及風景區
臺中市,大雅區,上雅里,B180000206,大雅區公所(4樓)-男廁,臺中市大雅區雅環路二段301號,縣市政府,24.22909800000000000,120.64776900000000000,特優級,男廁所,公家機關設置供民眾使用者
臺南市,新營區,護鎮里,D010000504,臺南市新營體育場田徑場2號出口下男廁,臺南市新營區長榮路二段78號,縣市政府,23.32072039744050000,120.31211614608800000,特優級,男廁所,公家機關設置供民眾使用者
臺南市,新營區,護鎮里,D010000501,臺南市新營體育場田徑場第五停車場旁男廁,臺南市新營區長榮路二段78號,縣市政府,23.32072039744050000,120.31211614608800000,特優級,男廁所,公家機關設置供民眾使用者
桃園市,中壢區,芝芭里,H020000734,"Global Mall桃園A19(A棟4F男廁)",桃園市中壢區高鐵南路二段352號,縣市政府,25.00244500000000000,121.20293500000000000,特優級,男廁所,百貨公司
高雄市,三民區,安發里,E050001368,"三民東兒福中心1F-男廁 ",高雄市三民區安發里九如一路775號,縣市政府,22.63971915749620000,120.32408952713000000,特優級,男廁所,文化育樂活動場所
金門縣,烈嶼鄉,林湖村,W050000034,烈嶼鄉公所3F女廁,金門縣烈嶼鄉林湖村西路60號,縣市政府,24.42951400000000000,118.24467700000000000,特優級,女廁所,各級機關學校
新北市,鶯歌區,鳳福里,F080000575,鳳福里活動中心-無障礙,新北市鶯歌區鳳吉一街167-1號,縣市政府,24.97544200000000000,121.32910200000000000,特優級,無障礙廁所,民眾團體活動場所
新北市,三峽區,礁溪里,F090000153,新北市政府警察局三峽分局3F-男女廁,新北市三峽區中正路一段48號,縣市政府,24.93054800000000000,121.37523500000000000,特優級,混合廁所,公家機關設置供民眾使用者
高雄市,燕巢區,南燕里,E210000125,燕巢區農會3F女廁,燕巢區南燕里中民路577號,縣市政府,22.79310100000000000,120.36253900000000000,特優級,女廁所,民眾團體活動場所
臺北市,信義區,西村里,A020000197,台北101購物中心4樓女,臺北市信義區市府路45號,縣市政府,25.03402600000000000,121.56390300000000000,特優級,女廁所,百貨公司
臺北市,松山區,美仁里,A010000729,臺北小巨蛋2-16,臺北市松山區南京東路四段2號(南京東路四段與敦化北路交叉口),縣市政府,25.05135500000000000,121.54995400000000000,特優級,女廁所,文化育樂活動場所
臺北市,松山區,美仁里,A010000726,臺北小巨蛋2-13,臺北市松山區南京東路四段2號(南京東路四段與敦化北路交叉口),縣市政府,25.05135500000000000,121.54995400000000000,特優級,女廁所,文化育樂活動場所
臺北市,松山區,美仁里,A010000709,臺北小巨蛋1-01,臺北市松山區南京東路四段2號(南京東路四段與敦化北路交叉口),縣市政府,25.05135500000000000,121.54995400000000000,特優級,男廁所,文化育樂活動場所
臺北市,大安區,臨江里,A030001016,大安8號男女,臺北市大安區臨江街112巷,縣市政府,25.03006900000000000,121.55447800000000000,特優級,混合廁所,公家機關設置供民眾使用者
臺北市,大安區,義安里,A030000977,安和路派出所男女,臺北市大安區信義路四段216號,縣市政府,25.03297200000000000,121.55210700000000000,特優級,混合廁所,各級機關學校
桃園市,龜山區,公西里,H070000086,長庚紀念醫院林口分院復健大樓1F26區門診區(BR0104)女廁,"桃園市龜山區復興街 5 號",縣市政府,25.06111972316010000,121.36755466461200000,特優級,女廁所,醫院
桃園市,龜山區,公西里,H070000083,長庚紀念醫院林口分院復健大樓1F大廳旁(AR0102)男廁,"桃園市龜山區復興街 5 號",縣市政府,25.06111000437440000,121.36757612228400000,特優級,男廁所,醫院
桃園市,八德區,瑞發里,H080000060,八德區瑞發公園男廁,桃園市八德區瑞發街25巷10號,縣市政府,24.93394200000000000,121.29877700000000000,特優級,男廁所,公園
桃園市,平鎮區,宋屋里,H100000066,台灣中油千億加油站女廁,桃園市平鎮區延平路3段489號,縣市政府,24.93156700000000000,121.19765300000000000,特優級,女廁所,加油站
桃園市,楊梅區,三湖里,H040000278,楊梅區-三湖里三元宮男廁,桃園市楊梅區三湖里十二鄰四十九號,縣市政府,24.91437000000000000,121.09983400000000000,特優級,男廁所,寺廟教堂等宗教活動場所
桃園市,楊梅區,梅溪里,H040000176,KFC楊梅中山餐廳2F女廁,桃園市326楊梅區中山北路二段6.6-1號,縣市政府,24.90909200000000000,121.16700200000000000,特優級,女廁所,餐廳
